Date,State,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_65PlusPop_Pct
12/14/2020,AK,0,0
12/14/2020,AL,0,0
12/14/2020,AR,0,0
12/14/2020,AZ,0,0
12/14/2020,CA,0,0
12/14/2020,CO,0,0
12/14/2020,CT,0,0
12/14/2020,DC,0,0
12/14/2020,DE,0,0
12/14/2020,FL,0,0
12/14/2020,GA,0,0
12/14/2020,HI,0,0
12/14/2020,IA,0,0
12/14/2020,ID,0,0
12/14/2020,IL,0,0
12/14/2020,IN,0,0
12/14/2020,KS,0,0
12/14/2020,KY,0,0
12/14/2020,LA,0,0
12/14/2020,MA,0,0
12/14/2020,MD,0,0
12/14/2020,ME,0,0
12/14/2020,MI,0,0
12/14/2020,MN,0,0
12/14/2020,MO,0,0
12/14/2020,MS,0,0
12/14/2020,MT,0,0
12/14/2020,NC,0,0
12/14/2020,ND,0,0
12/14/2020,NE,0,0
12/14/2020,NH,0,0
12/14/2020,NJ,0,0
12/14/2020,NM,0,0
12/14/2020,NV,0,0
12/14/2020,NY,0,0
12/14/2020,OH,0,0
12/14/2020,OK,0,0
12/14/2020,OR,0,0
12/14/2020,PA,0,0
12/14/2020,RI,0,0
12/14/2020,SC,0,0
12/14/2020,SD,0,0
12/14/2020,TN,0,0
12/14/2020,TX,0,0
12/14/2020,UT,0,0
12/14/2020,VA,0,0
12/14/2020,VT,0,0
12/14/2020,WA,0,0
12/14/2020,WI,0,0
12/14/2020,WV,0,0
12/14/2020,WY,0,0
12/15/2020,AK,0,0
12/15/2020,AL,0,0
12/15/2020,AR,0,0
12/15/2020,AZ,0,0
12/15/2020,CA,0,0
12/15/2020,CO,0,0
12/15/2020,CT,0,0
12/15/2020,DC,0,0
12/15/2020,DE,0,0
12/15/2020,FL,0,0
12/15/2020,GA,0,0
12/15/2020,HI,0,0
12/15/2020,IA,0,0
12/15/2020,ID,0,0
12/15/2020,IL,0,0
12/15/2020,IN,0,0
12/15/2020,KS,0,0
12/15/2020,KY,0,0
12/15/2020,LA,0,0
12/15/2020,MA,0,0
12/15/2020,MD,0,0
12/15/2020,ME,0,0
12/15/2020,MI,0,0
12/15/2020,MN,0,0
12/15/2020,MO,0,0
12/15/2020,MS,0,0
12/15/2020,MT,0,0
12/15/2020,NC,0,0
12/15/2020,ND,0,0
12/15/2020,NE,0,0
12/15/2020,NH,0,0
12/15/2020,NJ,0,0
12/15/2020,NM,0,0
12/15/2020,NV,0,0
12/15/2020,NY,0,0
12/15/2020,OH,0,0
12/15/2020,OK,0,0
12/15/2020,OR,0,0
12/15/2020,PA,0,0
12/15/2020,RI,0,0
12/15/2020,SC,0,0
12/15/2020,SD,0,0
12/15/2020,TN,0,0
12/15/2020,TX,0,0
12/15/2020,UT,0,0
12/15/2020,VA,0,0
12/15/2020,VT,0,0
12/15/2020,WA,0,0
